menu_id,menu_name,menu_title, menu_welcome_message
menu1,Technologies,Cloud Technologies,  Multi Cloud Platform we Support
menu2,Blogs, Blogs and Articles,  Checkout our latest Articles
menu3,About, About Us,  History of Multi Cloud CoE
menu4,Team, Our Team,  Multi Cloud CoE Leadership
menu5,Contact,Contact US,  Contact US
